interest_rate,amount,id,default_likelihood,state
0.25,23549,1,0.04,LA
0.25,47821,2,0.05,TN
0.35,92388,3,0.07,SC
0.15,13961,4,0.01,OK
0.35,76811,5,0.07,WA
0.15,44971,6,0.02,WA
0.35,90674,7,0.08,CT
0.15,32032,8,0.01,NH
0.25,20829,9,0.02,ND
0.25,82388,10,0.04,AZ
0.15,95190,11,0.02,CT
0.25,76803,12,0.06,DC
0.15,69504,13,0.01,HI
0.15,58893,14,0.01,NH
0.15,15981,15,0.01,MT
0.25,14469,16,0.06,MO
0.15,78895,17,0.01,SD
0.15,84543,18,0.01,WI
0.25,11313,19,0.06,IL
0.35,68081,20,0.08,ME
0.15,65867,21,0.01,WY
0.15,21263,22,0.02,DE
0.15,25525,23,0.01,NC
0.15,91863,24,0.01,NJ
0.15,55108,25,0.01,CA
0.35,11692,26,0.07,ME
0.15,31265,27,0.01,VT
0.35,97192,28,0.09,LA
0.25,91587,29,0.05,IA
0.35,41232,30,0.07,DE
0.35,45734,31,0.07,RI
0.25,66718,32,0.06,NH
0.35,75979,33,0.08,ND
0.35,83522,34,0.07,KY
0.35,11016,35,0.07,RI
0.35,91220,36,0.09,MN
0.15,54468,37,0.02,MI
0.25,84312,38,0.03,TX
0.35,76461,39,0.09,TN
0.35,86421,40,0.08,ND
0.15,42369,41,0.02,IN
0.15,49753,42,0.02,UT
0.15,34384,43,0.02,MO
0.25,75619,44,0.06,GA
0.25,56837,45,0.02,NH
0.35,79067,46,0.07,VT
0.35,73623,47,0.09,NY
0.15,59059,48,0.02,VT
0.25,57415,49,0.06,HI
0.35,74166,50,0.07,WA
0.15,51703,51,0.01,MT
0.15,94834,52,0.01,PA
0.15,53193,53,0.02,VA
0.25,62037,54,0.05,WV
0.35,20402,55,0.08,MS
0.35,31018,56,0.08,WI
0.25,84957,57,0.05,UT
0.15,16211,58,0.01,SD
0.25,72366,59,0.04,MS
0.15,47292,60,0.02,VT
0.25,90794,61,0.06,CT
0.35,58450,62,0.06,PA
0.25,43450,63,0.05,NE
0.25,66443,64,0.04,NV
0.15,28604,65,0.01,VA
0.35,63745,66,0.08,ID
0.15,28736,67,0.02,MD
0.25,72955,68,0.07,MN
0.35,88662,69,0.09,KY
0.35,79678,70,0.08,CO
0.15,70156,71,0.0,MS
0.25,17556,72,0.07,OK
0.25,25967,73,0.06,OH
0.35,75867,74,0.08,DC
0.15,90652,75,0.02,AL
0.25,10570,76,0.05,NH
0.25,15954,77,0.06,NY
0.15,96443,78,0.02,NM
0.25,61127,79,0.06,HI
0.35,71974,80,0.08,MS
0.15,53270,81,0.01,WI
0.15,28425,82,0.0,NY
0.25,91956,83,0.05,MD
0.15,57990,84,0.0,ND
0.25,94440,85,0.06,MD
0.15,50568,86,0.01,RI
0.25,33624,87,0.03,OK
0.15,22137,88,0.01,DC
0.25,40754,89,0.04,NE
0.35,30719,90,0.08,MA
0.25,87873,91,0.06,MI
0.35,85691,92,0.09,AZ
0.35,21393,93,0.09,NY
0.35,89814,94,0.08,WY
0.25,71764,95,0.06,WI
0.15,88547,96,0.02,FL
0.25,67523,97,0.06,OR
0.35,71909,98,0.09,WY
0.35,71921,99,0.08,LA
0.15,21584,100,0.01,OH
0.25,94400,101,0.06,AR
0.25,52983,102,0.05,UT
0.25,14811,103,0.05,NE
0.15,13117,104,0.01,MO
0.15,14668,105,0.01,AZ
0.15,99715,106,0.01,UT
0.15,50433,107,0.01,VT
0.25,97073,108,0.06,TN
0.15,97976,109,0.0,RI
0.15,76349,110,0.02,NV
0.15,90872,111,0.02,CA
0.15,15162,112,0.01,MO
0.15,25363,113,0.0,ID
0.15,62577,114,0.02,AZ
0.35,47394,115,0.08,VA
0.15,45665,116,0.02,MD
0.35,91999,117,0.07,UT
0.35,61199,118,0.08,CO
0.15,40491,119,0.02,ID
0.35,53281,120,0.08,MA
0.15,19271,121,0.01,NE
0.15,83742,122,0.01,NC
0.15,61171,123,0.02,LA
0.35,11950,124,0.09,NH
0.35,32954,125,0.09,MT
0.15,44251,126,0.01,DC
0.25,55466,127,0.06,CT
0.15,28839,128,0.02,GA
0.15,41618,129,0.02,HI
0.15,68295,130,0.02,MO
0.25,95466,131,0.06,NH
0.35,10985,132,0.08,AR
0.35,68877,133,0.08,SC
0.15,15610,134,0.01,NJ
0.35,16078,135,0.06,NM
0.35,59913,136,0.06,MD
0.35,27019,137,0.09,OR
0.15,26493,138,0.02,OH
0.15,35588,139,0.01,MA
0.25,68506,140,0.06,OH
0.15,86341,141,0.02,OK
0.35,51316,142,0.07,ME
0.15,80743,143,0.02,WA
0.15,47225,144,0.01,NM
0.25,67070,145,0.06,MD
0.15,53570,146,0.01,GA
0.15,75634,147,0.01,IN
0.35,94363,148,0.09,TN
0.15,64174,149,0.02,WA
0.35,57471,150,0.07,MN
0.35,28360,151,0.09,IN
0.15,36307,152,0.01,SC
0.35,85132,153,0.08,CO
0.15,66125,154,0.01,AK
0.15,24056,155,0.01,CO
0.35,19129,156,0.05,TX
0.15,60000,157,0.02,NV
0.35,90922,158,0.07,KS
0.35,28438,159,0.09,SD
0.35,20024,160,0.08,WY
0.15,46705,161,0.02,PA
0.15,57119,162,0.0,NY
0.15,80211,163,0.0,MO
0.15,48048,164,0.01,IN
0.35,76185,165,0.08,IN
0.15,96074,166,0.0,KY
0.25,36008,167,0.06,MN
0.15,78543,168,0.01,NY
0.25,90376,169,0.06,IL
0.15,85274,170,0.02,UT
0.35,39751,171,0.09,WV
0.35,99013,172,0.08,CA
0.15,13294,173,0.01,WI
0.35,95949,174,0.07,OR
0.15,33602,175,0.02,OH
0.35,12596,176,0.08,MT
0.35,88927,177,0.09,MI
0.25,68327,178,0.04,MS
0.35,86753,179,0.08,AL
0.25,27437,180,0.04,ND
0.15,28337,181,0.02,FL
0.35,77934,182,0.08,VT
0.15,98590,183,0.01,RI
0.15,41423,184,0.02,MO
0.15,60042,185,0.01,AL
0.35,54158,186,0.09,PA
0.35,38564,187,0.09,TN
0.35,56890,188,0.08,SD
0.15,95309,189,0.01,MO
0.25,94953,190,0.03,VA
0.15,18978,191,0.02,WA
0.35,93519,192,0.08,MS
0.35,47554,193,0.08,NM
0.25,44376,194,0.05,AK
0.25,42538,195,0.06,WA
0.15,94263,196,0.02,UT
0.35,86347,197,0.09,TX
0.25,91916,198,0.06,WV
0.15,11322,199,0.02,AK
0.25,86617,200,0.05,PA
0.35,29293,201,0.09,NE
0.35,39933,202,0.06,TN
0.15,75308,203,0.01,NY
0.35,48818,204,0.09,LA
0.15,63695,205,0.02,WY
0.35,29203,206,0.07,CT
0.25,50693,207,0.05,AL
0.15,72398,208,0.02,OK
0.15,59151,209,0.01,IA
0.35,13109,210,0.09,KY
0.25,62437,211,0.04,WY
0.25,44882,212,0.06,MN
0.35,45900,213,0.07,GA
0.35,62066,214,0.09,GA
0.15,15088,215,0.02,OR
0.35,35876,216,0.07,CO
0.25,32256,217,0.05,PA
0.15,79852,218,0.01,AL
0.15,81776,219,0.02,VA
0.25,63155,220,0.07,ME
0.35,31211,221,0.07,MS
0.15,44013,222,0.0,TN
0.25,83757,223,0.05,MO
0.25,52601,224,0.03,WV
0.15,83508,225,0.01,OR
0.25,77810,226,0.06,AL
0.35,38546,227,0.08,MI
0.15,94907,228,0.01,NY
0.25,68619,229,0.06,MN
0.35,42998,230,0.07,NV
0.15,78335,231,0.02,MO
0.35,60641,232,0.08,NH
0.35,36590,233,0.08,CA
0.25,30371,234,0.05,VA
0.15,52058,235,0.02,DC
0.15,66283,236,0.01,AZ
0.25,24769,237,0.05,PA
0.25,74906,238,0.05,NH
0.15,93186,239,0.02,IN
0.15,10885,240,0.02,RI
0.15,22709,241,0.0,AL
0.35,45574,242,0.08,RI
0.35,31814,243,0.06,NJ
0.15,49511,244,0.02,ME
0.25,93298,245,0.04,IL
0.15,93789,246,0.01,IN
0.15,77897,247,0.02,NC
0.15,99190,248,0.01,DC
0.35,79901,249,0.08,MS
0.25,22789,250,0.06,VA
0.35,27072,251,0.06,SD
0.15,44362,252,0.02,MA
0.15,33842,253,0.01,OK
0.15,38436,254,0.01,AZ
0.15,94094,255,0.01,VT
0.15,68776,256,0.01,NM
0.25,33654,257,0.05,OH
0.25,80758,258,0.05,NC
0.25,72643,259,0.05,HI
0.35,18478,260,0.08,IA
0.15,17295,261,0.01,MI
0.35,94084,262,0.09,CA
0.15,34687,263,0.02,DE
0.35,74420,264,0.09,WV
0.15,27896,265,0.01,OK
0.35,16437,266,0.08,MD
0.15,74777,267,0.02,AL
0.15,23377,268,0.01,TN
0.25,25720,269,0.05,FL
0.25,51770,270,0.06,TX
0.35,79922,271,0.09,TX
0.35,33132,272,0.08,MN
0.35,44202,273,0.07,ID
0.35,23414,274,0.07,AL
0.35,33019,275,0.06,MT
0.25,38074,276,0.06,MA
0.15,17156,277,0.02,ND
0.25,91374,278,0.05,WI
0.35,40044,279,0.08,OR
0.35,63293,280,0.08,KY
0.25,83802,281,0.05,KS
0.35,61643,282,0.08,OR
0.15,87226,283,0.02,ME
0.15,82663,284,0.02,NJ
0.35,83895,285,0.07,MI
0.25,13338,286,0.05,VA
0.15,94008,287,0.02,WV
0.15,13165,288,0.02,SD
0.35,38584,289,0.07,CA
0.25,29705,290,0.04,TX
0.15,64309,291,0.02,OK
0.35,79280,292,0.08,NE
0.35,72320,293,0.09,WI
0.25,95391,294,0.04,CO
0.35,21854,295,0.06,NE
0.35,39687,296,0.08,CO
0.15,45547,297,0.01,IL
0.25,54054,298,0.04,WY
0.35,29108,299,0.06,IA
0.15,53074,300,0.01,IL
0.35,90641,301,0.08,RI
0.25,67179,302,0.05,AK
0.35,94480,303,0.08,SD
0.15,80850,304,0.01,NV
0.25,40648,305,0.06,OR
0.15,41891,306,0.01,MS
0.35,23517,307,0.09,NC
0.25,99369,308,0.03,MS
0.15,12127,309,0.01,HI
0.25,11771,310,0.04,CA
0.35,82526,311,0.09,MT
0.35,43218,312,0.07,MO
0.25,97742,313,0.05,OH
0.25,42908,314,0.06,NV
0.25,45418,315,0.06,SD
0.35,58999,316,0.09,ND
0.25,55602,317,0.05,VT
0.15,56827,318,0.02,NH
0.25,84641,319,0.05,SC
0.35,72802,320,0.08,GA
0.35,12612,321,0.08,SD
0.35,96027,322,0.08,WY
0.25,36048,323,0.05,WA
0.35,73425,324,0.09,DC
0.35,33525,325,0.07,OK
0.15,90912,326,0.0,OR
0.15,94668,327,0.02,OK
0.15,17067,328,0.01,GA
0.15,92250,329,0.01,CA
0.15,67679,330,0.02,RI
0.25,97314,331,0.06,NJ
0.35,81804,332,0.06,KS
0.35,86737,333,0.08,DE
0.25,18221,334,0.05,FL
0.25,49938,335,0.04,MS
0.25,31071,336,0.06,AR
0.25,92823,337,0.05,TX
0.15,13886,338,0.01,HI
0.25,10854,339,0.06,OK
0.25,59948,340,0.06,FL
0.35,13960,341,0.08,MN
0.25,78577,342,0.06,VT
0.25,51088,343,0.05,GA
0.15,91383,344,0.01,NJ
0.35,25179,345,0.07,IN
0.25,36406,346,0.03,NH
0.35,55933,347,0.08,OR
0.25,64711,348,0.03,AK
0.15,43514,349,0.01,NV
0.15,99619,350,0.01,VA
0.35,24719,351,0.08,DE
0.35,95137,352,0.08,LA
0.15,31378,353,0.01,IL
0.15,32736,354,0.01,NV
0.35,50064,355,0.08,IA
0.25,64401,356,0.06,VA
0.35,13318,357,0.09,MT
0.35,58311,358,0.08,DE
0.35,89301,359,0.06,VT
0.15,23592,360,0.02,FL
0.35,62329,361,0.09,KY
0.15,57668,362,0.02,NC
0.15,77160,363,0.02,IN
0.15,47483,364,0.02,PA
0.15,15878,365,0.01,OK
0.15,87509,366,0.02,AL
0.15,21593,367,0.01,NE
0.15,80213,368,0.01,NE
0.35,87645,369,0.09,UT
0.35,66786,370,0.08,IN
0.25,57938,371,0.04,FL
0.35,23509,372,0.08,LA
0.25,83239,373,0.05,NJ
0.35,39190,374,0.08,WV
0.35,44919,375,0.09,SD
0.35,24353,376,0.06,AL
0.15,11399,377,0.01,ME
0.35,66629,378,0.08,ME
0.25,53054,379,0.05,WY
0.25,55644,380,0.04,PA
0.15,46170,381,0.01,MN
0.25,91589,382,0.05,WV
0.15,20572,383,0.01,MN
0.15,99659,384,0.02,FL
0.15,51621,385,0.01,WI
0.15,93457,386,0.02,AZ
0.25,55250,387,0.06,NM
0.35,54292,388,0.07,AK
0.25,55763,389,0.06,NV
0.25,54297,390,0.06,NY
0.15,80967,391,0.01,FL
0.35,72282,392,0.08,MA
0.15,82322,393,0.01,MI
0.25,26690,394,0.04,WI
0.25,52845,395,0.06,TN
0.25,84260,396,0.06,IN
0.25,36436,397,0.03,MT
0.25,78117,398,0.05,MA
0.35,93898,399,0.08,MN
0.25,65186,400,0.06,ID
0.25,68206,401,0.05,GA
0.15,78719,402,0.02,IA
0.15,83534,403,0.02,NJ
0.25,62511,404,0.06,IN
0.15,91393,405,0.0,NV
0.15,52385,406,0.02,MI
0.35,18151,407,0.09,OH
0.25,41854,408,0.05,WY
0.15,23403,409,0.01,NV
0.25,25195,410,0.06,MI
0.15,10926,411,0.01,VA
0.15,93070,412,0.02,IN
0.25,36167,413,0.03,NH
0.25,86758,414,0.06,FL
0.25,25887,415,0.05,MT
0.15,61085,416,0.01,AK
0.35,24227,417,0.06,DC
0.35,92654,418,0.06,NM
0.25,88831,419,0.06,RI
0.25,73539,420,0.04,IL
0.15,20511,421,0.02,NV
0.25,56326,422,0.05,KS
0.25,93833,423,0.05,WV
0.35,20620,424,0.08,VA
0.35,86614,425,0.09,AZ
